Isla	Estudio	Pradera	Sitio	Lat	Long	Profundidad	Fecha	Cober	Densidad 	Longitud	ZEC
Tenerife	CCV	Medano	A	28,0402	-16,5392	8	12/10/2003	100	454	16,3	si
Fuerteventura	CCV	Corralejo	B	28,6691	-13,8298	13	16/03/2005	100	230	16,5	si
Gran Canaria	Perez1996	Arinaga	Interna	27,8533	-15,3967	4	01/05/1995		2704	16,5	no
Gran Canaria	Perez1996	Gando	pìscina	27,9310	-15,3644	14	01/09/1994		2069	16,6	si
Gran Canaria	Perez1996	Gando	media	27,9325	-15,3694	20	01/09/1994		1200	16,6	si
Tenerife	CIMA	Igueste	IG-5	28,5152	-16,1667	15	01/04/2007		251,2	16,6	si
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/09/2020		842	16,6	si
Fuerteventura	Barberá.et.al.2005	Corralejo	B	28,6706	-13,8295	16	17/03/2003	100	260	16,6	si
Gran Canaria	PVA.Manc.Sureste	Arinaga	Arinaga	27,8531	-15,3965	8,7	18/03/2013	93,7	536,88	16,64	no
Lanzarote	Caracterización.DMA 	Guasimeta	Güasimeta	28,9384	-13,6027	14,8	22/08/2008	72	310,4	16,66	si
Gran Canaria	CCV	Gando	A	27,8704	-15,3850	6	17/10/2003	79,2	494	16,7	si
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/09/2021		917	16,7	no
Tenerife	CIMA	Granadilla	BU15-centro	28,1007	-16,4729	14	12/05/2004		340,8	16,73	no
Lanzarote	CCV	El.Río	A	29,2162	-13,5044	7	16/10/2004	97,2	620	16,8	si
Lanzarote	CCV	Playa.Quemada	B	28,9044	-13,7348	9	10/03/2004	100	444	16,8	no
Fuerteventura	CCV	Corralejo	A	28,6691	-13,8298	13	16/03/2005	100	226	16,8	si
Fuerteventura	CCV	Gran.Tarajal	A	28,2054	-14,0262	6	16/10/2003	65	228	16,8	si
Gran Canaria	CCV	Maspalomas	B	27,7286	-15,6010	11	23/10/2004	72,5	164	16,8	si
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	01/01/2020		741	16,8	si
Lanzarote	CCV	Caleta.Sebo	A	29,2273	-13,4998	10	12/03/2004	100	726	16,9	si
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/08/2017		330	16,9	no
Gran Canaria	Perez1996	Ingles	Em N 400	27,7543	-15,5584	7	01/07/1995		1450	17	si
Gran Canaria	Perez1996	Roque.Arinaga	A	27,8583	-15,3800	12	01/12/1994		777	17	no
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/08/2018		666	17	si
La Gomera	Plan.Conservación.C.nodosa	Cabrito	Playa del Cabrito	28,0572	-17,1359	9,2	05/02/2006	59,6	275,28	17	si
Lanzarote	CCV	El.Río	B	29,2162	-13,5044	8	18/05/2004	60	338	17,1	si
Gran Canaria	Perez1996	Arinaga	interna	27,8508	-15,3975	5	01/07/1994		4609	17,1	no
Lanzarote	CCV	Playa.Quemada	B	28,9044	-13,7348	8	14/10/2003	100	344	17,12	no
Tenerife	CIMA	Gigantes	LG-8	28,2706	-16,8519	14,6	01/06/2008		236	17,15	si
Tenerife	CIMA	Granadilla	BU10-final	28,0562	-16,5118	20,6	17/05/2004		259,2	17,22	no
Gran Canaria	Afección.Playa.Veril	Ingles	El Veril	27,7604	-15,5599	4,6	26/05/2010	22,2	112,4	17,3	si
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/02/2014		560	17,4	no
Lanzarote	Barberá.et.al.2005	El.Río	A	29,2172	-13,5023	8	01/03/2003	66 ,2	438	17,5	si
Gran Canaria	Perez1996	Burras		27,7639	-15,5500	10	01/07/1994		1847	17,5	no
Tenerife	CIMA	Gigantes	LG-8	28,2706	-16,8519	14,6	01/012/2008		612	17,5	si
Tenerife	CIMA	Granadilla	A-Unelco	28,1016	-16,4696	23	04/11/2011		190,4	17,54	no
La Gomera	Caracterización.DMA 	Cabrito	Playa del Cabrito	28,0572	-17,1359	16	05/02/2006	52,1	236,16	17,6	si
